prompt,score
Input image has forest with bright sunlight with emotional theme.,67
Input image has forest with bright sunlight with urban theme.,37
Input image has forest with bright sunlight with urban theme.,27
Input image has city at night with neon lights with abstract theme.,52
Input image has city at night with neon lights with abstract theme.,65
Input image has beach during sunrise with abstract theme.,71
Input image has snow-covered village with abstract theme.,25
Input image has mountain valley in rain with urban theme.,86
Input image has snow-covered village with urban theme.,30
Input image has beach during sunrise with abstract theme.,74
Input image has snow-covered village with urban theme.,51
Input image has snow-covered village with emotional theme.,53
Input image has snow-covered village with urban theme.,74
Input image has mountain valley in rain with nature theme.,76
Input image has beach during sunrise with abstract theme.,38
